,loss,accuracy,val_loss,val_accuracy
0,0.9523605108261108,0.9204166531562805,0.0005731524433940649,1.0
1,6.045194822945632e-05,1.0,0.00045437688822858036,1.0
2,4.916078978567384e-05,1.0,0.00025206978898495436,1.0
3,4.4413554860511795e-05,1.0,0.00013490222045220435,1.0
4,3.6952569644199684e-05,1.0,7.61911433073692e-05,1.0
5,2.2716641979059204e-05,1.0,3.815415038843639e-05,1.0
6,2.4072407541098073e-05,1.0,2.6937736038235016e-05,1.0
7,1.6532283552805893e-05,1.0,1.8654083760338835e-05,1.0
8,1.7412055967724882e-05,1.0,1.412996425642632e-05,1.0
9,1.4709712559124455e-05,1.0,1.1604551218624692e-05,1.0
10,1.3292498806549702e-05,1.0,1.1098713002866134e-05,1.0
11,1.1185577932337765e-05,1.0,8.906081347959116e-06,1.0
12,1.2349533790256828e-05,1.0,9.062046956387348e-06,1.0
13,9.066709935723338e-06,1.0,7.74718228058191e-06,1.0
14,1.0540304174355697e-05,1.0,7.568765340693062e-06,1.0
15,7.673838808841538e-06,1.0,6.1557475419249386e-06,1.0
16,9.818475518841296e-06,1.0,6.2701878960069735e-06,1.0
17,8.169227839971427e-06,1.0,5.897065875615226e-06,1.0
18,6.715301424264908e-06,1.0,5.4665247262164485e-06,1.0
19,7.139527951949276e-06,1.0,5.540827714867191e-06,1.0
20,6.031285465724068e-06,1.0,4.74709804620943e-06,1.0
21,6.1942987485963386e-06,1.0,4.587357580021489e-06,1.0
22,6.291073987085838e-06,1.0,4.712328063760651e-06,1.0
23,4.708787400886649e-06,1.0,3.833960363408551e-06,1.0
24,4.240450834913645e-06,1.0,3.537329121172661e-06,1.0
25,4.253164661349729e-06,1.0,3.2716927762521664e-06,1.0
26,4.1573985072318465e-06,1.0,3.1502993351750774e-06,1.0
27,4.2480505726416595e-06,1.0,3.090496193181025e-06,1.0
28,2.9740281206613872e-06,1.0,2.630746394061134e-06,1.0
29,3.760617346415529e-06,1.0,2.569155185483396e-06,1.0
